Day fraction since midnight on 11/17/2018	Fluoride Probe (volts)	balance ()	balance2 ()
2:24:50 PM	0.61511755	-999999	-999999
2:24:51 PM	0.61511999	-999999	-999999
2:24:52 PM	0.61512005	-999999	-999999
2:24:53 PM	0.6151191	-999999	-999999
2:24:54 PM	0.61511225	-999999	-999999
2:24:55 PM	0.61511397	-999999	-999999
2:24:56 PM	0.61512876	-999999	-999999
2:24:57 PM	0.61511487	-999999	-999999
2:24:58 PM	0.61510259	-999999	-999999
2:24:59 PM	0.61510217	-999999	-999999
2:25:00 PM	0.61510599	-999999	-999999
2:25:01 PM	0.61511338	-999999	-999999
2:25:02 PM	0.61511034	-999999	-999999
2:25:03 PM	0.61510974	-999999	-999999
2:25:04 PM	0.61511046	-999999	-999999
2:25:05 PM	0.61510491	-999999	-999999
2:25:06 PM	0.61512589	-999999	-999999
2:25:07 PM	0.61513489	-999999	-999999
2:25:08 PM	0.61510473	-999999	-999999
2:25:09 PM	0.61512649	-999999	-999999
2:25:10 PM	0.61511463	-999999	-999999
2:25:11 PM	0.61510503	-999999	-999999
2:25:12 PM	0.61510724	-999999	-999999
2:25:13 PM	0.61511695	-999999	-999999
2:25:14 PM	0.61509895	-999999	-999999
2:25:15 PM	0.61510307	-999999	-999999
2:25:16 PM	0.61511463	-999999	-999999
2:25:17 PM	0.61511308	-999999	-999999
2:25:18 PM	0.61509949	-999999	-999999
2:25:19 PM	0.6151129	-999999	-999999
2:25:20 PM	0.61511415	-999999	-999999
2:25:21 PM	0.61510193	-999999	-999999
2:25:22 PM	0.61511707	-999999	-999999
2:25:23 PM	0.61509299	-999999	-999999
2:25:24 PM	0.61510485	-999999	-999999
2:25:25 PM	0.61512786	-999999	-999999
2:25:26 PM	0.61511433	-999999	-999999
2:25:27 PM	0.61510617	-999999	-999999
2:25:28 PM	0.61510372	-999999	-999999
2:25:29 PM	0.6151216	-999999	-999999
2:25:30 PM	0.61512363	-999999	-999999
2:25:31 PM	0.61511624	-999999	-999999
2:25:32 PM	0.61512256	-999999	-999999
2:25:33 PM	0.6150865	-999999	-999999
2:25:34 PM	0.61510319	-999999	-999999
2:25:35 PM	0.61512375	-999999	-999999
2:25:36 PM	0.61511898	-999999	-999999
2:25:37 PM	0.61511254	-999999	-999999
2:25:38 PM	0.6151132	-999999	-999999
2:25:39 PM	0.61514425	-999999	-999999
2:25:40 PM	0.61510193	-999999	-999999
2:25:41 PM	0.61512566	-999999	-999999
